id	title	description	link	image_link	availability	price	brand	condition	google_product_category	identifier_exists
co-sello-para-madera	Sello de bronce para madera personalizado | Carpintería CNC | Alcohn	Sello de bronce CNC para tablas, cajas y muebles. Marcá madera con tu logo. Fabricación en Argentina, envío a todo el país.	https://www.alcohnsellos.com/co/sellos/para-madera	https://www.alcohnsellos.com/images/carousel/madera.webp	in_stock	156000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-sello-para-cuero	Sello de bronce para cuero | Marroquinería profesional | Alcohn Argentina	Sello personalizado para cuero y PU. Marroquinería, billeteras y materas con marca CNC. Envío a todo Argentina.	https://www.alcohnsellos.com/co/sellos/para-cuero	https://www.alcohnsellos.com/images/carousel/cuero.webp	in_stock	156000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-sello-para-ceramica	Sello de bronce para cerámica personalizado | Alcohn Argentina	Sellos CNC para cerámica en crudo, placas y piezas de autor. Marcá antes de la cocción con precisión.	https://www.alcohnsellos.com/co/sellos/para-ceramica	https://www.alcohnsellos.com/images/carousel/ceramica.webp	in_stock	156000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-sello-para-jabon	Sello de bronce para jabón artesanal | Alcohn Argentina	Sello personalizado para jabones, velas y cosmética natural. Bronce CNC, ideal para ferias y regalos.	https://www.alcohnsellos.com/co/sellos/para-jabon	https://www.alcohnsellos.com/images/carousel/jabon.webp	in_stock	156000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-sello-para-packaging	Sello para cajas de cartón y packaging | Bronce CNC | Alcohn	Sello de bronce CNC para marcar cajas de cartón, etiquetas y bolsas de papel. Ideal para packaging artesanal y series cortas. Envío a todo Argentina.	https://www.alcohnsellos.com/co/sellos/para-packaging	https://www.alcohnsellos.com/images/clientes/cliente-monk-03.webp	in_stock	156000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-sello-para-lacre	Sello de bronce para lacre personalizado | Alcohn Argentina	Sellos para lacre en invitaciones, sobres y packaging boutique. Bronce CNC, diseño elegante.	https://www.alcohnsellos.com/co/sellos/para-lacre	https://www.alcohnsellos.com/images/carousel/lacre.webp	in_stock	156000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-sello-para-hielo	Sello para hielo y coctelería | Bronce CNC | Alcohn	Sello de bronce para hielo en bares y eventos. Marcá cubos y roca con tu logo. Envío a todo el país.	https://www.alcohnsellos.com/co/sellos/para-hielo	https://www.alcohnsellos.com/images/carousel/hielo.webp	in_stock	156000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-sello-para-pan	Sello para pan y hamburguesa personalizado | Bronce CNC | Alcohn	Sello de bronce para pan, hamburguesas y gastronomía. Marcá masas con tu logo. Fabricación CNC, envío nacional.	https://www.alcohnsellos.com/co/sellos/para-pan	https://www.alcohnsellos.com/images/carousel/pan.webp	in_stock	156000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-sello-para-fruta	Sello para fruta y decoración de cocktails | Bronce CNC | Alcohn	Sellos para fruta y cítricos en bares y eventos. Bronce CNC, marca visible en cada servicio.	https://www.alcohnsellos.com/co/sellos/para-fruta	https://www.alcohnsellos.com/images/carousel/fruta.webp	in_stock	156000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-prod-sello-personalizado-cuero	Sello personalizado para cuero | Bronce CNC | Alcohn	Sello de bronce con tu logo para cuero y marroquinería. Fabricación CNC en Argentina. Envío a todo el país.	https://www.alcohnsellos.com/co/productos/sello-personalizado-cuero	https://www.alcohnsellos.com/images/sello/sello-personalizado-logo.webp	in_stock	156000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-prod-sello-personalizado-madera	Sello personalizado para madera | Bronce CNC | Alcohn	Sello de bronce para carpintería y madera con tu logo. Precisión CNC, fabricación en Argentina.	https://www.alcohnsellos.com/co/productos/sello-personalizado-madera	https://www.alcohnsellos.com/images/sello/sello-personalizado-logo.webp	in_stock	156000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-prod-sello-personalizado-universal	Sello personalizado para cuero y madera | Bronce CNC | Alcohn	Un sello de bronce para cuero y madera. Versátil para talleres con varios materiales. CNC Argentina.	https://www.alcohnsellos.com/co/productos/sello-personalizado-universal	https://www.alcohnsellos.com/images/sello/sello-personalizado-logo.webp	in_stock	156000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-prod-sello-para-alimentos	Sello para alimentos, pan y queso | Bronce CNC | Alcohn	Sello de bronce para pan, queso y gastronomía. Forma adaptada a alimentos. Fabricación CNC Argentina.	https://www.alcohnsellos.com/co/productos/sello-para-alimentos	https://www.alcohnsellos.com/images/sello/sello-personalizado-logo.webp	in_stock	156000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-prod-abecedario-bronce-completo	Abecedario de bronce completo A-Z | Alcohn Argentina	Letras y números de bronce individuales para marcar textos en cuero y madera. Fabricación CNC.	https://www.alcohnsellos.com/co/abecedarios	https://www.alcohnsellos.com/images/sello/sello-personalizado-logo.webp	in_stock	191000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-prod-abecedario-bronce-numeros	Abecedario de números en bronce 0-9 | Alcohn	Números de bronce 0-9 para fechas y códigos en cuero y madera. Letras CNC, envío nacional.	https://www.alcohnsellos.com/co/abecedarios	https://www.alcohnsellos.com/images/sello/sello-personalizado-logo.webp	in_stock	78000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-prod-sello-personalizado-ceramica	Sello personalizado para cerámica | Bronce CNC | Alcohn	Sello de bronce para cerámica en crudo. Marcá antes del horneado con precisión CNC.	https://www.alcohnsellos.com/co/productos/sello-personalizado-ceramica	https://www.alcohnsellos.com/images/sello/sello-personalizado-logo.webp	in_stock	156000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-prod-sello-personalizado-lacre	Sello personalizado para lacre | Bronce CNC | Alcohn	Sello de bronce para lacre en invitaciones y packaging. Diseño elegante, fabricación CNC Argentina.	https://www.alcohnsellos.com/co/productos/sello-personalizado-lacre	https://www.alcohnsellos.com/images/sello/sello-personalizado-logo.webp	in_stock	156000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
co-accesorio-mango-de-golpe	Mango metálico de golpe para sellos de bronce | Alcohn	Mango metálico para martillar sellos en frío. Ideal para marcar cuero en sellos de hasta 3×3 cm.	https://www.alcohnsellos.com/co/accesorios/mango-de-golpe	https://www.alcohnsellos.com/images/accesorios/mango%20de%20golpe/mango-de-golpe-acero-rosca-encastre.png	in_stock	64000.00 COP	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
