id	title	description	link	image_link	availability	price	brand	condition	google_product_category	identifier_exists
prod-sello-personalizado-cuero	Sello de bronce personalizado para cuero | Alcohn	Sello de bronce CNC con tu logo para marroquinería y cuero. Incluye mango, muestra digital y envío a todo Argentina. Precio desde según medida.	https://alcohnsellos.com/productos/sello-personalizado-cuero	https://alcohnsellos.com/images/carousel/cuero.webp	in_stock	69500.00 ARS	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
prod-sello-personalizado-madera	Sello de bronce personalizado para madera | Alcohn	Sello de bronce para carpintería y madera con tu diseño. Fabricación CNC en Argentina. Ideal para piezas de autor y packaging en madera.	https://alcohnsellos.com/productos/sello-personalizado-madera	https://alcohnsellos.com/images/carousel/madera.webp	in_stock	69500.00 ARS	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
prod-sello-personalizado-universal	Sello de bronce personalizado cuero y madera | Alcohn	Sello versátil de bronce para cuero y madera con tu logo. Un solo sello para talleres con varios materiales. CNC, envío nacional.	https://alcohnsellos.com/productos/sello-personalizado-universal	https://alcohnsellos.com/images/sello/sello-personalizado-logo.webp	in_stock	69500.00 ARS	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
prod-sello-para-alimentos	Sello de bronce para alimentos, pan y queso | Alcohn	Sello de bronce para pan, hamburguesas, queso y gastronomía. Forma adaptada para no marcar con la base. Fabricación CNC Argentina.	https://alcohnsellos.com/productos/sello-para-alimentos	https://alcohnsellos.com/images/carousel/pan.webp	in_stock	69500.00 ARS	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
prod-sello-personalizado-ceramica	Sello de bronce personalizado para cerámica | Alcohn	Sello de bronce para marcar cerámica en crudo antes del horneado. Diseño con tu logo, precisión CNC, envío a todo el país.	https://alcohnsellos.com/productos/sello-personalizado-ceramica	https://alcohnsellos.com/images/carousel/ceramica.webp	in_stock	69500.00 ARS	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
prod-sello-personalizado-lacre	Sello de bronce personalizado para lacre | Alcohn	Sello elegante de bronce para lacre en invitaciones y packaging premium. Fabricado en CNC, con tu diseño personalizado.	https://alcohnsellos.com/productos/sello-personalizado-lacre	https://alcohnsellos.com/images/carousel/lacre.webp	in_stock	69500.00 ARS	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
prod-abecedario-completo	Abecedario de bronce completo A-Z y 0-9 | Alcohn	Letras y números de bronce individuales para componer textos en cuero y madera. Incluye caja organizadora. Fabricación CNC.	https://alcohnsellos.com/productos/abecedario-bronce-completo	https://alcohnsellos.com/images/abecedario/abecedario.webp	in_stock	85000.00 ARS	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
prod-abecedario-numeros	Abecedario de números en bronce 0-9 | Alcohn	Números de bronce 0-9 para fechas y códigos en cuero y madera. Cada número es un sello independiente. Envío nacional.	https://alcohnsellos.com/productos/abecedario-bronce-numeros	https://alcohnsellos.com/images/abecedario/abecedario.webp	in_stock	35000.00 ARS	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
sello-para-madera	Sello de bronce para madera personalizado | Carpintería CNC	Sello de bronce para madera con tu logo. Marcá tablas, cajas y piezas de autor. Fabricación CNC Alcohn, envío Argentina.	https://alcohnsellos.com/sellos/para-madera	https://alcohnsellos.com/images/carousel/madera.webp	in_stock	69500.00 ARS	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
sello-para-cuero	Sello de bronce para cuero | Marroquinería profesional	Sello de bronce para cuero genuino y sintético. Ideal para marroquinería, billeteras y talleres. Logo personalizado, CNC.	https://alcohnsellos.com/sellos/para-cuero	https://alcohnsellos.com/images/carousel/cuero.webp	in_stock	69500.00 ARS	Alcohn	new	Herramientas y ferretería > Herramientas > Sellos y punzones	no
